GEX lib,ADT lib,TCRab,BCR
CZI-IA9924320,CZI-IA9924368,CZI-IA10586214,CZI-IA10586223
CZI-IA9924321,CZI-IA9924369,CZI-IA10586215,CZI-IA10586224
CZI-IA9924322,CZI-IA9924370,CZI-IA10586216,CZI-IA10586225
CZI-IA9924323,CZI-IA9924371,CZI-IA10586217,CZI-IA10586226
CZI-IA9924324,CZI-IA9924372,CZI-IA10586218,CZI-IA10586227
CZI-IA9924325,CZI-IA9924373,CZI-IA9924342,CZI-IA10034978
CZI-IA9924326,CZI-IA9924374,CZI-IA9924343,CZI-IA10034979
CZI-IA9924327,CZI-IA9924375,CZI-IA9924341,CZI-IA10034980
CZI-IA9924328,CZI-IA9924376,CZI-IA9924344,CZI-IA9924360
CZI-IA10034920,CZI-IA10034936,CZI-IA10034952,CZI-IA10034968
CZI-IA10034921,CZI-IA10034937,CZI-IA10034953,CZI-IA10034969
CZI-IA10034922,CZI-IA10034938,CZI-IA10034954,CZI-IA10034970
CZI-IA10034923,CZI-IA10034939,CZI-IA10034955,CZI-IA10034971
CZI-IA10034926,CZI-IA10034940,CZI-IA10034956,CZI-IA10034972
CZI-IA10034927,CZI-IA10034941,CZI-IA10034957,CZI-IA10034973
CZI-IA10034928,CZI-IA10034943,CZI-IA10034958,CZI-IA10034974
CZI-IA10034924,CZI-IA10034944,CZI-IA10034959,CZI-IA10034975
CZI-IA10034925,CZI-IA10034945,CZI-IA10034960,CZI-IA10034976
CZI-IA10244332,CZI-IA10244434,CZI-IA10244332,CZI-IA10244332
CZI-IA10244331,CZI-IA10244433,CZI-IA10244331,CZI-IA10244331
CZI-IA10244335,CZI-IA10244437,CZI-IA10244335,CZI-IA10244335
CZI-IA10244336,CZI-IA10244438,CZI-IA10244336,CZI-IA10244336
CZI-IA10244334,CZI-IA10244436,CZI-IA10244334,CZI-IA10244334
CZI-IA10244333,CZI-IA10244435,CZI-IA10244333,CZI-IA10244333
CZI-IA10466281,CZI-IA10466377,CZI-IA10466281,CZI-IA10466281
CZI-IA10466282,CZI-IA10466378,CZI-IA10466282,CZI-IA10466282
CZI-IA10466283,CZI-IA10466379,CZI-IA10466283,CZI-IA10466283
CZI-IA10466284,CZI-IA10466380,CZI-IA10466284,CZI-IA10466284
CZI-IA10466285,CZI-IA10466381,CZI-IA10466285,CZI-IA10466285
CZI-IA10466286,CZI-IA10466382,CZI-IA10466286,CZI-IA10466286
CZI-IA10466291,CZI-IA10466387,CZI-IA10466291,CZI-IA10466291
CZI-IA10466287,CZI-IA10466383,CZI-IA10466287,CZI-IA10466287
CZI-IA10466288,CZI-IA10466384,CZI-IA10466288,CZI-IA10466288
CZI-IA10466289,CZI-IA10466385,CZI-IA10466289,CZI-IA10466289
CZI-IA10466290,CZI-IA10466386,CZI-IA10466290,CZI-IA10466290
CZI-IA10471909,CZI-IA10472005,CZI-IA10471909,CZI-IA10471909
CZI-IA10471910,CZI-IA10472006,CZI-IA10471910,CZI-IA10471910
CZI-IA10471911,CZI-IA10472007,CZI-IA10471911,CZI-IA10471911
CZI-IA10471912,CZI-IA10472008,CZI-IA10471912,CZI-IA10471912
CZI-IA10471913,CZI-IA10472009,CZI-IA10471913,CZI-IA10471913