Sample ID (internal),Sample_ID,Site,Donor ID,Hashtag,Fresh/frozen,Cell type,Sorting,Stimulation,GEX chem,Organ,Protein panel,lib
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0049
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0049
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0049
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0049
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0049
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0049
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0049
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0049
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0097
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0097
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0097
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0097
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0097
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0097
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0097
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0050
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0050
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0050
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0050
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0050
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0050
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0050
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0050
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0098
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0098
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0098
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0098
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0098
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0098
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0098
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0051
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0051
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0051
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0051
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0051
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0051
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0051
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0051
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0099
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0099
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0099
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0099
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0099
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0099
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0099
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0052
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0052
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0052
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0052
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0052
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0052
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0052
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0052
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0100
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0100
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0100
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0100
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0100
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0100
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0100
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0053
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0053
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0053
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0053
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0053
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0053
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0053
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0053
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0101
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0101
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0101
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0101
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0101
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0101
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0101
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0054
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0054
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0054
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0054
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0054
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0054
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0054
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0054
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0102
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0102
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0102
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0102
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0102
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0102
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0102
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0055
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0055
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0055
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0055
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0055
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0055
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0055
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0055
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0103
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0103
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0103
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0103
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0103
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0103
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0103
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0056
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0056
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0056
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0056
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0056
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0056
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0056
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0056
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0104
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0104
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0104
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0104
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0104
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0104
