Sample ID (internal),Sample_ID,Site,Donor ID,Hashtag,Fresh/frozen,Cell type,Sorting,Stimulation,GEX chem,Organ,Protein panel,lib
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0104
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0057
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0057
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0057
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0057
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0057
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0057
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0057
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0057
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0105
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0105
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0105
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0105
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0105
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0105
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0105
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0058
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0058
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0058
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0058
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0058
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0058
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0058
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0058
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0106
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0106
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0106
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0106
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0106
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0106
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0106
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0059
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0059
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0059
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0059
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0059
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0059
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0059
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0059
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0107
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0107
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0107
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0107
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0107
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0107
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0107
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0060
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0060
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0060
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0060
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0060
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0060
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0060
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0060
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0108
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0108
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0108
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0108
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0108
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0108
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0108
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0061
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0061
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0061
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0061
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0061
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0061
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0061
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0061
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0109
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0109
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0109
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0109
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0109
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0109
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0109
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0062
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0062
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0062
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0062
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0062
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0062
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0062
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0062
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0110
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0110
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0110
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0110
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0110
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0110
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0110
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0063
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0063
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0063
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0063
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0063
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0063
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0063
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0063
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0111
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0111
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0111
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0111
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0111
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0111
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0111
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0064
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0064
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0064
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0064
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0064
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0064
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0064
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0064
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0112
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0112
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0112
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0112
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0112
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0112
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0112
