,Hashtag+combined_ID,Sample ID (internal),Sample_ID,Site,Donor ID,Hashtag,Fresh/frozen,Cell type,Sorting,Stimulation,GEX chem,GEX lib,ADT lib,TCR lib,BCR lib,HTO lib,Organ,Protein panel,symbol,combined_ID
67,HTO_C0256_CZI-IA10466284+CZI-IA10466380,106,637C-TLN-106,UK,637C,HTO_C0256,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,TLN,Protein panel 2,+,CZI-IA10466284+CZI-IA10466380
68,HTO_C0255_CZI-IA10466284+CZI-IA10466380,107,637C-LIV-107,UK,637C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466377,CZI-IA10466378,CZI-IA10466379,CZI-IA10466380","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284","CZI-IA10466281,CZI-IA10466282,CZI-IA10466283,CZI-IA10466284",,LIV,Protein panel 2,+,CZI-IA10466284+CZI-IA10466380
69,HTO_C0252_CZI-IA10466285+CZI-IA10466381,108,637C-JEJLP-108,UK,637C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10466285,CZI-IA10466381,CZI-IA10466285,CZI-IA10466285,,JEJLP,Protein panel 2,+,CZI-IA10466285+CZI-IA10466381
70,nan_CZI-IA10466286+CZI-IA10466382,109,637C-JEJEPI-109,UK,637C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10466286,CZI-IA10466382,CZI-IA10466286,CZI-IA10466286,,JEJEPI,Protein panel 2,+,CZI-IA10466286+CZI-IA10466382
71,HTO_C0254_CZI-IA10466285+CZI-IA10466381,111,637C-LNG-111,UK,637C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10466285,CZI-IA10466381,CZI-IA10466285,CZI-IA10466285,,LNG,Protein panel 2,+,CZI-IA10466285+CZI-IA10466381
72,HTO_C0252_CZI-IA10471909+CZI-IA10472005,120,640C-SPL-120,UK,640C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,SPL,Protein panel 2,+,CZI-IA10471909+CZI-IA10472005
73,HTO_C0253_CZI-IA10471909+CZI-IA10472005,121,640C-BMA-121,UK,640C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,BMA,Protein panel 2,+,CZI-IA10471909+CZI-IA10472005
74,HTO_C0254_CZI-IA10471909+CZI-IA10472005,122,640C-TLN-122,UK,640C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,TLN,Protein panel 2,+,CZI-IA10471909+CZI-IA10472005
75,HTO_C0255_CZI-IA10471909+CZI-IA10472005,123,640C-MLN-123,UK,640C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,MLN,Protein panel 2,+,CZI-IA10471909+CZI-IA10472005
76,HTO_C0252_CZI-IA10471910+CZI-IA10472006,120,640C-SPL-120,UK,640C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,SPL,Protein panel 2,+,CZI-IA10471910+CZI-IA10472006
77,HTO_C0253_CZI-IA10471910+CZI-IA10472006,121,640C-BMA-121,UK,640C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,BMA,Protein panel 2,+,CZI-IA10471910+CZI-IA10472006
78,HTO_C0254_CZI-IA10471910+CZI-IA10472006,122,640C-TLN-122,UK,640C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,TLN,Protein panel 2,+,CZI-IA10471910+CZI-IA10472006
79,HTO_C0255_CZI-IA10471910+CZI-IA10472006,123,640C-MLN-123,UK,640C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471909,CZI-IA10471910","CZI-IA10472005,CZI-IA10472006","CZI-IA10471909,CZI-IA10471910","CZI-IA10471909,CZI-IA10471910",,MLN,Protein panel 2,+,CZI-IA10471910+CZI-IA10472006
80,HTO_C0254_CZI-IA10471911+CZI-IA10472007,124,640C-LIV-124,UK,640C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,LIV,Protein panel 2,+,CZI-IA10471911+CZI-IA10472007
81,HTO_C0255_CZI-IA10471911+CZI-IA10472007,125,640C-LNG-125,UK,640C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,LNG,Protein panel 2,+,CZI-IA10471911+CZI-IA10472007
82,HTO_C0256_CZI-IA10471911+CZI-IA10472007,126,640C-JEJEPI-126,UK,640C,HTO_C0256,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,JEJEPI,Protein panel 2,+,CZI-IA10471911+CZI-IA10472007
83,HTO_C0257_CZI-IA10471911+CZI-IA10472007,127,640C-JEJLP-127,UK,640C,HTO_C0257,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,JEJLP,Protein panel 2,+,CZI-IA10471911+CZI-IA10472007
84,HTO_C0254_CZI-IA10471912+CZI-IA10472008,124,640C-LIV-124,UK,640C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,LIV,Protein panel 2,+,CZI-IA10471912+CZI-IA10472008
85,HTO_C0255_CZI-IA10471912+CZI-IA10472008,125,640C-LNG-125,UK,640C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,LNG,Protein panel 2,+,CZI-IA10471912+CZI-IA10472008
86,HTO_C0256_CZI-IA10471912+CZI-IA10472008,126,640C-JEJEPI-126,UK,640C,HTO_C0256,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,JEJEPI,Protein panel 2,+,CZI-IA10471912+CZI-IA10472008
87,HTO_C0257_CZI-IA10471912+CZI-IA10472008,127,640C-JEJLP-127,UK,640C,HTO_C0257,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,JEJLP,Protein panel 2,+,CZI-IA10471912+CZI-IA10472008
88,HTO_C0254_CZI-IA10471913+CZI-IA10472009,124,640C-LIV-124,UK,640C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,LIV,Protein panel 2,+,CZI-IA10471913+CZI-IA10472009
89,HTO_C0255_CZI-IA10471913+CZI-IA10472009,125,640C-LNG-125,UK,640C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,LNG,Protein panel 2,+,CZI-IA10471913+CZI-IA10472009
90,HTO_C0256_CZI-IA10471913+CZI-IA10472009,126,640C-JEJEPI-126,UK,640C,HTO_C0256,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,JEJEPI,Protein panel 2,+,CZI-IA10471913+CZI-IA10472009
91,HTO_C0257_CZI-IA10471913+CZI-IA10472009,127,640C-JEJLP-127,UK,640C,HTO_C0257,Fresh,MNC,No ,Nonstim,5'v2,"CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10472007,CZI-IA10472008,CZI-IA10472009","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913","CZI-IA10471911,CZI-IA10471912,CZI-IA10471913",,JEJLP,Protein panel 2,+,CZI-IA10471913+CZI-IA10472009
92,HTO_C0252_CZI-IA10471914+CZI-IA10472010,129,640C-SPL-129,UK,640C,HTO_C0252,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471914,CZI-IA10471915","CZI-IA10472010,CZI-IA10472011","CZI-IA10471914,CZI-IA10471915","CZI-IA10471914,CZI-IA10471915",,SPL,Protein panel 2,+,CZI-IA10471914+CZI-IA10472010
93,HTO_C0253_CZI-IA10471914+CZI-IA10472010,130,640C-BMA-130,UK,640C,HTO_C0253,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471914,CZI-IA10471915","CZI-IA10472010,CZI-IA10472011","CZI-IA10471914,CZI-IA10471915","CZI-IA10471914,CZI-IA10471915",,BMA,Protein panel 2,+,CZI-IA10471914+CZI-IA10472010
94,HTO_C0254_CZI-IA10471914+CZI-IA10472010,131,640C-TLN-131,UK,640C,HTO_C0254,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471914,CZI-IA10471915","CZI-IA10472010,CZI-IA10472011","CZI-IA10471914,CZI-IA10471915","CZI-IA10471914,CZI-IA10471915",,TLN,Protein panel 2,+,CZI-IA10471914+CZI-IA10472010
95,HTO_C0255_CZI-IA10471914+CZI-IA10472010,132,640C-MLN-132,UK,640C,HTO_C0255,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471914,CZI-IA10471915","CZI-IA10472010,CZI-IA10472011","CZI-IA10471914,CZI-IA10471915","CZI-IA10471914,CZI-IA10471915",,MLN,Protein panel 2,+,CZI-IA10471914+CZI-IA10472010
96,HTO_C0252_CZI-IA10471915+CZI-IA10472011,129,640C-SPL-129,UK,640C,HTO_C0252,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471914,CZI-IA10471915","CZI-IA10472010,CZI-IA10472011","CZI-IA10471914,CZI-IA10471915","CZI-IA10471914,CZI-IA10471915",,SPL,Protein panel 2,+,CZI-IA10471915+CZI-IA10472011
97,HTO_C0253_CZI-IA10471915+CZI-IA10472011,130,640C-BMA-130,UK,640C,HTO_C0253,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471914,CZI-IA10471915","CZI-IA10472010,CZI-IA10472011","CZI-IA10471914,CZI-IA10471915","CZI-IA10471914,CZI-IA10471915",,BMA,Protein panel 2,+,CZI-IA10471915+CZI-IA10472011
98,HTO_C0254_CZI-IA10471915+CZI-IA10472011,131,640C-TLN-131,UK,640C,HTO_C0254,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471914,CZI-IA10471915","CZI-IA10472010,CZI-IA10472011","CZI-IA10471914,CZI-IA10471915","CZI-IA10471914,CZI-IA10471915",,TLN,Protein panel 2,+,CZI-IA10471915+CZI-IA10472011
99,HTO_C0255_CZI-IA10471915+CZI-IA10472011,132,640C-MLN-132,UK,640C,HTO_C0255,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471914,CZI-IA10471915","CZI-IA10472010,CZI-IA10472011","CZI-IA10471914,CZI-IA10471915","CZI-IA10471914,CZI-IA10471915",,MLN,Protein panel 2,+,CZI-IA10471915+CZI-IA10472011
100,HTO_C0254_CZI-IA10471916+CZI-IA10472012,133,640C-LIV-133,UK,640C,HTO_C0254,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471916,CZI-IA10471917","CZI-IA10472012,CZI-IA10472013","CZI-IA10471916,CZI-IA10471917","CZI-IA10471916,CZI-IA10471917",,LIV,Protein panel 2,+,CZI-IA10471916+CZI-IA10472012
101,HTO_C0255_CZI-IA10471916+CZI-IA10472012,134,640C-LNG-134,UK,640C,HTO_C0255,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471916,CZI-IA10471917","CZI-IA10472012,CZI-IA10472013","CZI-IA10471916,CZI-IA10471917","CZI-IA10471916,CZI-IA10471917",,LNG,Protein panel 2,+,CZI-IA10471916+CZI-IA10472012
102,HTO_C0256_CZI-IA10471916+CZI-IA10472012,135,640C-JEJEPI-135,UK,640C,HTO_C0256,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471916,CZI-IA10471917","CZI-IA10472012,CZI-IA10472013","CZI-IA10471916,CZI-IA10471917","CZI-IA10471916,CZI-IA10471917",,JEJEPI,Protein panel 2,+,CZI-IA10471916+CZI-IA10472012
103,HTO_C0257_CZI-IA10471916+CZI-IA10472012,136,640C-JEJLP-136,UK,640C,HTO_C0257,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471916,CZI-IA10471917","CZI-IA10472012,CZI-IA10472013","CZI-IA10471916,CZI-IA10471917","CZI-IA10471916,CZI-IA10471917",,JEJLP,Protein panel 2,+,CZI-IA10471916+CZI-IA10472012
104,HTO_C0254_CZI-IA10471917+CZI-IA10472013,133,640C-LIV-133,UK,640C,HTO_C0254,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471916,CZI-IA10471917","CZI-IA10472012,CZI-IA10472013","CZI-IA10471916,CZI-IA10471917","CZI-IA10471916,CZI-IA10471917",,LIV,Protein panel 2,+,CZI-IA10471917+CZI-IA10472013
105,HTO_C0255_CZI-IA10471917+CZI-IA10472013,134,640C-LNG-134,UK,640C,HTO_C0255,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471916,CZI-IA10471917","CZI-IA10472012,CZI-IA10472013","CZI-IA10471916,CZI-IA10471917","CZI-IA10471916,CZI-IA10471917",,LNG,Protein panel 2,+,CZI-IA10471917+CZI-IA10472013
106,HTO_C0256_CZI-IA10471917+CZI-IA10472013,135,640C-JEJEPI-135,UK,640C,HTO_C0256,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471916,CZI-IA10471917","CZI-IA10472012,CZI-IA10472013","CZI-IA10471916,CZI-IA10471917","CZI-IA10471916,CZI-IA10471917",,JEJEPI,Protein panel 2,+,CZI-IA10471917+CZI-IA10472013
107,HTO_C0257_CZI-IA10471917+CZI-IA10472013,136,640C-JEJLP-136,UK,640C,HTO_C0257,Fresh,MNC,No ,PMA+I,5'v2,"CZI-IA10471916,CZI-IA10471917","CZI-IA10472012,CZI-IA10472013","CZI-IA10471916,CZI-IA10471917","CZI-IA10471916,CZI-IA10471917",,JEJLP,Protein panel 2,+,CZI-IA10471917+CZI-IA10472013
